PMID	Journal	Title	Abstract	Year	URL
23563607	Nat Genet	Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.	Approaches exploiting trait distribution extremes may be used to identify loci associated with common traits, but it is unknown whether these loci are generalizable to the broader population. In a genome-wide search for loci associated with the upper versus the lower 5th percentiles of body mass index, height and waist-to-hip ratio, as well as clinical classes of obesity, including up to 263,407 individuals of European ancestry, we identified 4 new loci (IGFBP4, H6PD, RSRC1 and PPP2R2A) influencing height detected in the distribution tails and 7 new loci (HNF4G, RPTOR, GNAT2, MRPS33P4, ADCY9, HS6ST3 and ZZZ3) for clinical classes of obesity. Further, we find a large overlap in genetic structure and the distribution of variants between traits based on extremes and the general population and little etiological heterogeneity between obesity subgroups.	2013	https://ncbi.nlm.nih.gov/pubmed/23563607
24076602	Nat Genet	Analysis of immune-related loci identifies 48 new susceptibility variants for multiple sclerosis.	Using the ImmunoChip custom genotyping array, we analyzed 14,498 subjects with multiple sclerosis and 24,091 healthy controls for 161,311 autosomal variants and identified 135 potentially associated regions (P < 1.0 × 10(-4)). In a replication phase, we combined these data with previous genome-wide association study (GWAS) data from an independent 14,802 subjects with multiple sclerosis and 26,703 healthy controls. In these 80,094 individuals of European ancestry, we identified 48 new susceptibility variants (P < 5.0 × 10(-8)), 3 of which we found after conditioning on previously identified variants. Thus, there are now 110 established multiple sclerosis risk variants at 103 discrete loci outside of the major histocompatibility complex. With high-resolution Bayesian fine mapping, we identified five regions where one variant accounted for more than 50% of the posterior probability of association. This study enhances the catalog of multiple sclerosis risk variants and illustrates the value of fine mapping in the resolution of GWAS signals.	2013	https://ncbi.nlm.nih.gov/pubmed/24076602
29227965	Aging (Albany NY)	Human longevity: 25 genetic loci associated in 389,166 UK biobank participants.	We undertook a genome-wide association study (GWAS) of parental longevity in European descent UK Biobank participants. For combined mothers' and fathers' attained age, 10 loci were associated (p<5*10	2017	https://ncbi.nlm.nih.gov/pubmed/29227965
24162737	Nat Genet	Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.	Eleven susceptibility loci for late-onset Alzheimer's disease (LOAD) were identified by previous studies; however, a large portion of the genetic risk for this disease remains unexplained. We conducted a large, two-stage meta-analysis of genome-wide association studies (GWAS) in individuals of European ancestry. In stage 1, we used genotyped and imputed data (7,055,881 SNPs) to perform meta-analysis on 4 previously published GWAS data sets consisting of 17,008 Alzheimer's disease cases and 37,154 controls. In stage 2, 11,632 SNPs were genotyped and tested for association in an independent set of 8,572 Alzheimer's disease cases and 11,312 controls. In addition to the APOE locus (encoding apolipoprotein E), 19 loci reached genome-wide significance (P < 5 × 10(-8)) in the combined stage 1 and stage 2 analysis, of which 11 are newly associated with Alzheimer's disease.	2013	https://ncbi.nlm.nih.gov/pubmed/24162737
29083406	Nat Genet	Shared genetic origin of asthma, hay fever and eczema elucidates allergic disease biology.	Asthma, hay fever (or allergic rhinitis) and eczema (or atopic dermatitis) often coexist in the same individuals, partly because of a shared genetic origin. To identify shared risk variants, we performed a genome-wide association study (GWAS; n = 360,838) of a broad allergic disease phenotype that considers the presence of any one of these three diseases. We identified 136 independent risk variants (P < 3 × 10	2017	https://ncbi.nlm.nih.gov/pubmed/29083406
34255042	J Clin Endocrinol Metab	Genome-wide Association Study of Estradiol Levels and the Causal Effect of Estradiol on Bone Mineral Density.	"CONTEXT: Estradiol is the primary female sex hormone and plays an important role for skeletal health in both sexes. Several enzymes are involved in estradiol metabolism, but few genome-wide association studies (GWAS) have been performed to characterize the genetic contribution to variation in estrogen levels.
OBJECTIVE: Identify genetic loci affecting estradiol levels and estimate causal effect of estradiol on bone mineral density (BMD).
DESIGN: We performed GWAS for estradiol in males (n = 147 690) and females (n = 163 985) from UK Biobank. Estradiol was analyzed as a binary phenotype above/below detection limit (175 pmol/L). We further estimated the causal effect of estradiol on BMD using Mendelian randomization.
RESULTS: We identified 14 independent loci associated (P < 5 × 10-8) with estradiol levels in males, of which 1 (CYP3A7) was genome-wide and 7 nominally (P < 0.05) significant in females. In addition, 1 female-specific locus was identified. Most loci contain functionally relevant genes that have not been discussed in relation to estradiol levels in previous GWAS (eg, SRD5A2, which encodes a steroid 5-alpha reductase that is involved in processing androgens, and UGT3A1 and UGT2B7, which encode enzymes likely to be involved in estradiol elimination). The allele that tags the O blood group at the ABO locus was associated with higher estradiol levels. We identified a causal effect of high estradiol levels on increased BMD in both males (P = 1.58 × 10-11) and females (P = 7.48 × 10-6).
CONCLUSION: Our findings further support the importance of the body's own estrogen to maintain skeletal health in males and in females."	2021	https://ncbi.nlm.nih.gov/pubmed/34255042
27749845	Nat Genet	Genome-wide association analyses identify new susceptibility loci for oral cavity and pharyngeal cancer.	We conducted a genome-wide association study of oral cavity and pharyngeal cancer in 6,034 cases and 6,585 controls from Europe, North America and South America. We detected eight significantly associated loci (P < 5 × 10	2016	https://ncbi.nlm.nih.gov/pubmed/27749845
33773637	Lancet Neurol	Genetic basis of lacunar stroke: a pooled analysis of individual patient data and genome-wide association studies.	"BACKGROUND: The genetic basis of lacunar stroke is poorly understood, with a single locus on 16q24 identified to date. We sought to identify novel associations and provide mechanistic insights into the disease.
METHODS: We did a pooled analysis of data from newly recruited patients with an MRI-confirmed diagnosis of lacunar stroke and existing genome-wide association studies (GWAS). Patients were recruited from hospitals in the UK as part of the UK DNA Lacunar Stroke studies 1 and 2 and from collaborators within the International Stroke Genetics Consortium. Cases and controls were stratified by ancestry and two meta-analyses were done: a European ancestry analysis, and a transethnic analysis that included all ancestry groups. We also did a multi-trait analysis of GWAS, in a joint analysis with a study of cerebral white matter hyperintensities (an aetiologically related radiological trait), to find additional genetic associations. We did a transcriptome-wide association study (TWAS) to detect genes for which expression is associated with lacunar stroke; identified significantly enriched pathways using multi-marker analysis of genomic annotation; and evaluated cardiovascular risk factors causally associated with the disease using mendelian randomisation.
FINDINGS: Our meta-analysis comprised studies from Europe, the USA, and Australia, including 7338 cases and 254 798 controls, of which 2987 cases (matched with 29 540 controls) were confirmed using MRI. Five loci (ICA1L-WDR12-CARF-NBEAL1, ULK4, SPI1-SLC39A13-PSMC3-RAPSN, ZCCHC14, ZBTB14-EPB41L3) were found to be associated with lacunar stroke in the European or transethnic meta-analyses. A further seven loci (SLC25A44-PMF1-BGLAP, LOX-ZNF474-LOC100505841, FOXF2-FOXQ1, VTA1-GPR126, SH3PXD2A, HTRA1-ARMS2, COL4A2) were found to be associated in the multi-trait analysis with cerebral white matter hyperintensities (n=42 310). Two of the identified loci contain genes (COL4A2 and HTRA1) that are involved in monogenic lacunar stroke. The TWAS identified associations between the expression of six genes (SCL25A44, ULK4, CARF, FAM117B, ICA1L, NBEAL1) and lacunar stroke. Pathway analyses implicated disruption of the extracellular matrix, phosphatidylinositol 5 phosphate binding, and roundabout binding (false discovery rate <0·05). Mendelian randomisation analyses identified positive associations of elevated blood pressure, history of smoking, and type 2 diabetes with lacunar stroke.
INTERPRETATION: Lacunar stroke has a substantial heritable component, with 12 loci now identified that could represent future treatment targets. These loci provide insights into lacunar stroke pathogenesis, highlighting disruption of the vascular extracellular matrix (COL4A2, LOX, SH3PXD2A, GPR126, HTRA1), pericyte differentiation (FOXF2, GPR126), TGF-β signalling (HTRA1), and myelination (ULK4, GPR126) in disease risk.
FUNDING: British Heart Foundation."	2021	https://ncbi.nlm.nih.gov/pubmed/33773637
29895819	Sci Rep	Genome-wide association study in Japanese females identifies fifteen novel skin-related trait associations.	Skin trait variation impacts quality-of-life, especially for females from the viewpoint of beauty. To investigate genetic variation related to these traits, we conducted a GWAS of various skin phenotypes in 11,311 Japanese women and identified associations for age-spots, freckles, double eyelids, straight/curly hair, eyebrow thickness, hairiness, and sweating. In silico annotation with RoadMap Epigenomics epigenetic state maps and colocalization analysis of GWAS and GTEx Project eQTL signals provided information about tissue specificity, candidate causal variants, and functional target genes. Novel signals for skin-spot traits neighboured AKAP1/MSI2 (rs17833789; P = 2.2 × 10	2018	https://ncbi.nlm.nih.gov/pubmed/29895819
26192919	Nat Genet	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Ulcerative colitis and Crohn's disease are the two main forms of inflammatory bowel disease (IBD). Here we report the first trans-ancestry association study of IBD, with genome-wide or Immunochip genotype data from an extended cohort of 86,640 European individuals and Immunochip data from 9,846 individuals of East Asian, Indian or Iranian descent. We implicate 38 loci in IBD risk for the first time. For the majority of the IBD risk loci, the direction and magnitude of effect are consistent in European and non-European cohorts. Nevertheless, we observe genetic heterogeneity between divergent populations at several established risk loci driven by differences in allele frequency (NOD2) or effect size (TNFSF15 and ATG16L1) or a combination of these factors (IL23R and IRGM). Our results provide biological insights into the pathogenesis of IBD and demonstrate the usefulness of trans-ancestry association studies for mapping loci associated with complex diseases and understanding genetic architecture across diverse populations.	2015	https://ncbi.nlm.nih.gov/pubmed/26192919
20190752	Nat Genet	Multiple common variants for celiac disease influencing immune gene expression.	We performed a second-generation genome-wide association study of 4,533 individuals with celiac disease (cases) and 10,750 control subjects. We genotyped 113 selected SNPs with P(GWAS) < 10(-4) and 18 SNPs from 14 known loci in a further 4,918 cases and 5,684 controls. Variants from 13 new regions reached genome-wide significance (P(combined) < 5 x 10(-8)); most contain genes with immune functions (BACH2, CCR4, CD80, CIITA-SOCS1-CLEC16A, ICOSLG and ZMIZ1), with ETS1, RUNX3, THEMIS and TNFRSF14 having key roles in thymic T-cell selection. There was evidence to suggest associations for a further 13 regions. In an expression quantitative trait meta-analysis of 1,469 whole blood samples, 20 of 38 (52.6%) tested loci had celiac risk variants correlated (P < 0.0028, FDR 5%) with cis gene expression.	2010	https://ncbi.nlm.nih.gov/pubmed/20190752
23568457	Int J Eat Disord	Genetic variants associated with disordered eating.	"OBJECTIVE: Although the genetic contribution to the development of anorexia nervosa (AN) has long been recognized, there has been little progress relative to other psychiatric disorders in identifying specific susceptibility genes. Here, we have carried out a genome-wide association study on an unselected community sample of female twins surveyed for eating disorders.
METHOD: We conducted genome-wide association analyses in 2,564 female twins for four different phenotypes derived from self-report data relating to lifetime presence of 15 types of disordered eating: AN spectrum, bulimia nervosa (BN) spectrum, purging via substances, and a binary measure of no disordered eating behaviors versus three or more. To complement the variant level results, we also conducted gene-based association tests using VEGAS software.
RESULTS: Although no variants reached genome-wide significance at the level of p < 10(-8), six regions were suggestive (p < 5 × 10(-7)). The current results implicate the following genes: CLEC5A, LOC136242, TSHZ1, and SYTL5 for the AN spectrum phenotype; NT5C1B for the BN spectrum phenotype; and ATP8A2 for the disordered eating behaviors phenotype.
DISCUSSION: As with other medical and psychiatric phenotypes, much larger samples and meta-analyses will ultimately be needed to identify genes and pathways contributing to predisposition to eating disorders."	2013	https://ncbi.nlm.nih.gov/pubmed/23568457
29531354	Nat Genet	Multiancestry genome-wide association study of 520,000 subjects identifies 32 loci associated with stroke and stroke subtypes.	Stroke has multiple etiologies, but the underlying genes and pathways are largely unknown. We conducted a multiancestry genome-wide-association meta-analysis in 521,612 individuals (67,162 cases and 454,450 controls) and discovered 22 new stroke risk loci, bringing the total to 32. We further found shared genetic variation with related vascular traits, including blood pressure, cardiac traits, and venous thromboembolism, at individual loci (n = 18), and using genetic risk scores and linkage-disequilibrium-score regression. Several loci exhibited distinct association and pleiotropy patterns for etiological stroke subtypes. Eleven new susceptibility loci indicate mechanisms not previously implicated in stroke pathophysiology, with prioritization of risk variants and genes accomplished through bioinformatics analyses using extensive functional datasets. Stroke risk loci were significantly enriched in drug targets for antithrombotic therapy.	2018	https://ncbi.nlm.nih.gov/pubmed/29531354
30054458	Nat Commun	Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes.	Type 2 diabetes (T2D) is a very common disease in humans. Here we conduct a meta-analysis of genome-wide association studies (GWAS) with ~16 million genetic variants in 62,892 T2D cases and 596,424 controls of European ancestry. We identify 139 common and 4 rare variants associated with T2D, 42 of which (39 common and 3 rare variants) are independent of the known variants. Integration of the gene expression data from blood (n = 14,115 and 2765) with the GWAS results identifies 33 putative functional genes for T2D, 3 of which were targeted by approved drugs. A further integration of DNA methylation (n = 1980) and epigenomic annotation data highlight 3 genes (CAMK1D, TP53INP1, and ATP5G1) with plausible regulatory mechanisms, whereby a genetic variant exerts an effect on T2D through epigenetic regulation of gene expression. Our study uncovers additional loci, proposes putative genetic regulatory mechanisms for T2D, and provides evidence of purifying selection for T2D-associated variants.	2018	https://ncbi.nlm.nih.gov/pubmed/30054458
23459209	PLoS Genet	ImmunoChip study implicates antigen presentation to T cells in narcolepsy.	Recent advances in the identification of susceptibility genes and environmental exposures provide broad support for a post-infectious autoimmune basis for narcolepsy/hypocretin (orexin) deficiency. We genotyped loci associated with other autoimmune and inflammatory diseases in 1,886 individuals with hypocretin-deficient narcolepsy and 10,421 controls, all of European ancestry, using a custom genotyping array (ImmunoChip). Three loci located outside the Human Leukocyte Antigen (HLA) region on chromosome 6 were significantly associated with disease risk. In addition to a strong signal in the T cell receptor alpha (TRA@), variants in two additional narcolepsy loci, Cathepsin H (CTSH) and Tumor necrosis factor (ligand) superfamily member 4 (TNFSF4, also called OX40L), attained genome-wide significance. These findings underline the importance of antigen presentation by HLA Class II to T cells in the pathophysiology of this autoimmune disease.	2013	https://ncbi.nlm.nih.gov/pubmed/23459209
29632382	Nat Genet	Refining the accuracy of validated target identification through coding variant fine-mapping in type 2 diabetes.	We aggregated coding variant data for 81,412 type 2 diabetes cases and 370,832 controls of diverse ancestry, identifying 40 coding variant association signals (P < 2.2 × 10	2018	https://ncbi.nlm.nih.gov/pubmed/29632382
17660530	N Engl J Med	Risk alleles for multiple sclerosis identified by a genomewide study.	"BACKGROUND: Multiple sclerosis has a clinically significant heritable component. We conducted a genomewide association study to identify alleles associated with the risk of multiple sclerosis.
METHODS: We used DNA microarray technology to identify common DNA sequence variants in 931 family trios (consisting of an affected child and both parents) and tested them for association. For replication, we genotyped another 609 family trios, 2322 case subjects, and 789 control subjects and used genotyping data from two external control data sets. A joint analysis of data from 12,360 subjects was performed to estimate the overall significance and effect size of associations between alleles and the risk of multiple sclerosis.
RESULTS: A transmission disequilibrium test of 334,923 single-nucleotide polymorphisms (SNPs) in 931 family trios revealed 49 SNPs having an association with multiple sclerosis (P<1x10(-4)); of these SNPs, 38 were selected for the second-stage analysis. A comparison between the 931 case subjects from the family trios and 2431 control subjects identified an additional nonoverlapping 32 SNPs (P<0.001). An additional 40 SNPs with less stringent P values (<0.01) were also selected, for a total of 110 SNPs for the second-stage analysis. Of these SNPs, two within the interleukin-2 receptor alpha gene (IL2RA) were strongly associated with multiple sclerosis (P=2.96x10(-8)), as were a nonsynonymous SNP in the interleukin-7 receptor alpha gene (IL7RA) (P=2.94x10(-7)) and multiple SNPs in the HLA-DRA locus (P=8.94x10(-81)).
CONCLUSIONS: Alleles of IL2RA and IL7RA and those in the HLA locus are identified as heritable risk factors for multiple sclerosis."	2007	https://ncbi.nlm.nih.gov/pubmed/17660530
25056061	Nature	Biological insights from 108 schizophrenia-associated genetic loci.	Schizophrenia is a highly heritable disorder. Genetic risk is conferred by a large number of alleles, including common alleles of small effect that might be detected by genome-wide association studies. Here we report a multi-stage schizophrenia genome-wide association study of up to 36,989 cases and 113,075 controls. We identify 128 independent associations spanning 108 conservatively defined loci that meet genome-wide significance, 83 of which have not been previously reported. Associations were enriched among genes expressed in brain, providing biological plausibility for the findings. Many findings have the potential to provide entirely new insights into aetiology, but associations at DRD2 and several genes involved in glutamatergic neurotransmission highlight molecules of known and potential therapeutic relevance to schizophrenia, and are consistent with leading pathophysiological hypotheses. Independent of genes expressed in brain, associations were enriched among genes expressed in tissues that have important roles in immunity, providing support for the speculated link between the immune system and schizophrenia.	2014	https://ncbi.nlm.nih.gov/pubmed/25056061
23222812	Carcinogenesis	Replication of GWAS-identified neuroblastoma risk loci strengthens the role of BARD1 and affirms the cumulative effect of genetic variations on disease susceptibility.	Several neuroblastoma (NB) susceptibility loci have been identified within LINC00340, BARD1, LMO1, DUSP12, HSD17B12, DDX4, IL31RA, HACE1 and LIN28B by genome-wide association (GWA) studies including European American individuals. To validate and comprehensively evaluate the impact of the identified NB variants on disease risk and phenotype, we analyzed 16 single nucleotide polymorphisms (SNPs) in an Italian population (370 cases and 809 controls). We assessed their regulatory activity on gene expression in lymphoblastoid (LCLs) and NB cell lines. We evaluated the cumulative effect of the independent loci on NB risk and high-risk phenotype development in Italian and European American (1627 cases and 2575 controls) populations. All NB susceptibility genes replicated in the Italian dataset except for DDX4 and IL31RA, and the most significant SNP was rs6435862 in BARD1 (P = 8.4 × 10(-15)). BARD1 showed an additional and independent SNP association (rs7585356). This variant influenced BARD1 mRNA expression in LCLs and NB cell lines. No evidence of epistasis among the NB-associated variants was detected, whereas a cumulative effect of risk variants on NB risk (European Americans: P (trend) = 6.9 × 10(-30), Italians: P (trend) = 8.55 × 10(13)) and development of high-risk phenotype (European Americans: P (trend) = 6.9 × 10(-13), Italians: P (trend) = 2.2 × 10(-1)) was observed in a dose-dependent manner. These results provide further evidence that the risk loci identified in GWA studies contribute to NB susceptibility in distinct populations and strengthen the role of BARD1 as major genetic contributor to NB risk. This study shows that even in the absence of interaction the combination of several low-penetrance alleles has potential to distinguish subgroups of patients at different risks of developing NB.	2013	https://ncbi.nlm.nih.gov/pubmed/23222812
23603761	Nat Genet	Dense genotyping of immune-related disease regions identifies 14 new susceptibility loci for juvenile idiopathic arthritis.	We used the Immunochip array to analyze 2,816 individuals with juvenile idiopathic arthritis (JIA), comprising the most common subtypes (oligoarticular and rheumatoid factor-negative polyarticular JIA), and 13,056 controls. We confirmed association of 3 known JIA risk loci (the human leukocyte antigen (HLA) region, PTPN22 and PTPN2) and identified 14 loci reaching genome-wide significance (P < 5 × 10(-8)) for the first time. Eleven additional new regions showed suggestive evidence of association with JIA (P < 1 × 10(-6)). Dense mapping of loci along with bioinformatics analysis refined the associations to one gene in each of eight regions, highlighting crucial pathways, including the interleukin (IL)-2 pathway, in JIA disease pathogenesis. The entire Immunochip content, the HLA region and the top 27 loci (P < 1 × 10(-6)) explain an estimated 18, 13 and 6% of the risk of JIA, respectively. In summary, this is the largest collection of JIA cases investigated so far and provides new insight into the genetic basis of this childhood autoimmune disease.	2013	https://ncbi.nlm.nih.gov/pubmed/23603761
25616667	Brain	Genetic variants are major determinants of CSF antibody levels in multiple sclerosis.	Immunological hallmarks of multiple sclerosis include the production of antibodies in the central nervous system, expressed as presence of oligoclonal bands and/or an increased immunoglobulin G index-the level of immunoglobulin G in the cerebrospinal fluid compared to serum. However, the underlying differences between oligoclonal band-positive and -negative patients with multiple sclerosis and reasons for variability in immunoglobulin G index are not known. To identify genetic factors influencing the variation in the antibody levels in the cerebrospinal fluid in multiple sclerosis, we have performed a genome-wide association screen in patients collected from nine countries for two traits, presence or absence of oligoclonal bands (n = 3026) and immunoglobulin G index levels (n = 938), followed by a replication in 3891 additional patients. We replicate previously suggested association signals for oligoclonal band status in the major histocompatibility complex region for the rs9271640*A-rs6457617*G haplotype, correlated with HLA-DRB1*1501, and rs34083746*G, correlated with HLA-DQA1*0301 (P comparing two haplotypes = 8.88 × 10(-16)). Furthermore, we identify a novel association signal of rs9807334, near the ELAC1/SMAD4 genes, for oligoclonal band status (P = 8.45 × 10(-7)). The previously reported association of the immunoglobulin heavy chain locus with immunoglobulin G index reaches strong evidence for association in this data set (P = 3.79 × 10(-37)). We identify two novel associations in the major histocompatibility complex region with immunoglobulin G index: the rs9271640*A-rs6457617*G haplotype (P = 1.59 × 10(-22)), shared with oligoclonal band status, and an additional independent effect of rs6457617*G (P = 3.68 × 10(-6)). Variants identified in this study account for up to 2-fold differences in the odds of being oligoclonal band positive and 7.75% of the variation in immunoglobulin G index. Both traits are associated with clinical features of disease such as female gender, age at onset and severity. This is the largest study population so far investigated for the genetic influence on antibody levels in the cerebrospinal fluid in multiple sclerosis, including 6950 patients. We confirm that genetic factors underlie these antibody levels and identify both the major histocompatibility complex and immunoglobulin heavy chain region as major determinants.	2015	https://ncbi.nlm.nih.gov/pubmed/25616667
